key,t1,t2,t3,t4
lineworld,0.999,8,6.25,true
lineworld,0.99800104,8,7.8125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,6,5.0,true
lineworld,0.999,6,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,6.25,true
lineworld,0.99800104,6,7.8125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,6.25,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,6.25,true
lineworld,0.99800104,4,31.25,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,0.99800104,6,1.953125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,12,1.25,true
lineworld,0.999,12,1.5625,true
lineworld,0.99800104,12,7.8125,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,8,1.25,true
lineworld,0.999,8,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,4,5.0,true
lineworld,0.999,4,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,6.25,true
lineworld,0.99800104,4,7.8125,true
lineworld,1.0,6,5.0,true
lineworld,0.999,6,6.25,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,10,5.0,true
lineworld,0.999,10,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,8,5.0,true
lineworld,0.999,8,6.25,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,8,1.25,true
lineworld,0.999,8,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,8,1.25,true
lineworld,0.999,8,1.5625,true
lineworld,0.99800104,8,1.953125,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,4,5.0,true
lineworld,0.999,4,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,5.0,true
lineworld,0.999,4,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,14,1.25,true
lineworld,0.999,14,6.25,true
lineworld,0.99800104,14,7.8125,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,7.8125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,0.99800104,6,1.953125,true
lineworld,1.0,8,1.25,true
lineworld,0.999,8,6.25,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,0.99800104,6,1.953125,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,16,1.25,true
lineworld,0.999,16,1.5625,true
lineworld,0.99800104,16,1.953125,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,10,1.25,true
lineworld,0.999,10,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,6.25,true
lineworld,1.0,8,1.25,true
lineworld,0.999,8,1.5625,true
lineworld,0.99800104,8,1.953125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,12,5.0,true
lineworld,0.999,12,6.25,true
lineworld,1.0,8,1.25,true
lineworld,0.999,8,1.5625,true
lineworld,0.99800104,8,1.953125,true
lineworld,1.0,4,5.0,true
lineworld,0.999,4,6.25,true
lineworld,0.99800104,4,7.8125,true
lineworld,1.0,10,5.0,true
lineworld,0.999,10,6.25,true
lineworld,0.99800104,10,7.8125,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,12,1.25,true
lineworld,0.999,12,1.5625,true
lineworld,0.99800104,12,1.953125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,1.0,8,5.0,true
lineworld,0.999,8,6.25,true
lineworld,0.99800104,8,7.8125,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,6.25,true
lineworld,0.99800104,6,7.8125,true
lineworld,1.0,8,1.25,true
lineworld,0.999,8,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,6.25,true
lineworld,1.0,6,5.0,true
lineworld,0.999,6,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,6.25,true
lineworld,1.0,12,5.0,true
lineworld,0.999,12,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,25.0,true
lineworld,1.0,18,1.25,true
lineworld,0.999,18,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,6.25,true
lineworld,1.0,10,1.25,true
lineworld,0.999,10,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,7.8125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,0.99800104,6,7.8125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,6,5.0,true
lineworld,0.999,6,25.0,true
lineworld,0.99800104,6,31.25,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,0.99800104,6,1.953125,true
lineworld,1.0,8,1.25,true
lineworld,0.999,8,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,6.25,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,8,1.25,true
lineworld,0.999,8,1.5625,true
lineworld,0.99800104,8,1.953125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,6.25,true
lineworld,0.99800104,4,7.8125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,6,5.0,true
lineworld,0.999,6,25.0,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,7.8125,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,16,1.25,true
lineworld,0.999,16,1.5625,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,7.8125,true
lineworld,1.0,4,5.0,true
lineworld,0.999,4,6.25,true
lineworld,0.99800104,4,7.8125,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,1.0,8,1.25,true
lineworld,0.999,8,1.5625,true
lineworld,0.99800104,8,1.953125,true
lineworld,1.0,6,5.0,true
lineworld,0.999,6,6.25,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,6,5.0,true
lineworld,0.999,6,6.25,true
lineworld,0.99800104,6,7.8125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,6.25,true
lineworld,1.0,12,1.25,true
lineworld,0.999,12,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,0.99800104,6,7.8125,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,8,1.25,true
lineworld,0.999,8,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,10,1.25,true
lineworld,0.999,10,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,8,5.0,true
lineworld,0.999,8,6.25,true
lineworld,0.99800104,8,7.8125,true
lineworld,1.0,12,1.25,true
lineworld,0.999,12,1.5625,true
lineworld,0.99800104,12,1.953125,true
lineworld,1.0,8,1.25,true
lineworld,0.999,8,6.25,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,7.8125,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,25.0,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,10,1.25,true
lineworld,0.999,10,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,4,5.0,true
lineworld,0.999,4,25.0,true
lineworld,0.99800104,4,31.25,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,6.25,true
lineworld,0.99800104,4,7.8125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,1.0,12,1.25,true
lineworld,0.999,12,1.5625,true
lineworld,0.99800104,12,1.953125,true
lineworld,1.0,8,1.25,true
lineworld,0.999,8,1.5625,true
lineworld,0.99800104,8,7.8125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,4,5.0,true
lineworld,0.999,4,6.25,true
lineworld,0.99800104,4,7.8125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,6.25,true
lineworld,1.0,8,1.25,true
lineworld,0.999,8,1.5625,true
lineworld,1.0,10,1.25,true
lineworld,0.999,10,6.25,true
lineworld,1.0,4,5.0,true
lineworld,0.999,4,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,10,1.25,true
lineworld,0.999,10,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,6,5.0,true
lineworld,0.999,6,6.25,true
lineworld,0.99800104,6,7.8125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,4,5.0,true
lineworld,0.999,4,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,5.0,true
lineworld,0.999,4,25.0,true
lineworld,1.0,4,5.0,true
lineworld,0.999,4,6.25,true
lineworld,0.99800104,4,7.8125,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,0.99800104,6,1.953125,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,14,1.25,true
lineworld,0.999,14,6.25,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,4,5.0,true
lineworld,0.999,4,6.25,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,0.99800104,4,1.953125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,6.25,true
lineworld,1.0,4,1.25,true
lineworld,0.999,4,1.5625,true
lineworld,1.0,8,5.0,true
lineworld,0.999,8,6.25,true
lineworld,0.99800104,8,31.25,true
lineworld,1.0,6,1.25,true
lineworld,0.999,6,1.5625,true
lineworld,0.99800104,6,1.953125,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,5.0,true
lineworld,0.999,2,6.25,true
lineworld,1.0,2,1.25,true
lineworld,0.999,2,1.5625,true
lineworld,1.0,2,1.25,true
